#,Company,Symbol,Portfolio%,Price,Chg,% Chg
325,"Expedia Group, Inc.",EXPE,0.0005,147.45,0.62,-0.42%
326,Illumina Inc,ILMN,0.0005,127.87,-3.62,(-2.75%)
327,Firstenergy Corp.,FE,0.0005,37.15,-0.72,(-1.90%)
328,Teledyne Technologies Incorporated,TDY,0.0005,426.06,-2.11,(-0.49%)
329,Verisign Inc,VRSN,0.0005,205.79,-4.70,(-2.23%)
330,Laboratory Corporation of America Holdings,LH,0.0005,224.61,1.55,-0.69%
331,"Darden Restaurants, Inc.",DRI,0.0005,161.14,-1.96,(-1.20%)
332,Iron Mountain Inc.,IRM,0.0005,68.46,0.01,-0.01%
333,"Alexandria Real Estate Equities, Inc.",ARE,0.0005,133.52,-0.94,(-0.70%)
334,"Fleetcor Technologies, Inc.",FLT,0.0005,261.29,-10.80,(-3.97%)
335,"Ventas, Inc.",VTR,0.0005,50.30,-0.23,(-0.46%)
336,Genuine Parts Company,GPC,0.0005,134.45,-5.43,(-3.88%)
337,Garmin Ltd,GRMN,0.0005,131.06,5.46,-4.34%
338,"Nasdaq, Inc.",NDAQ,0.0005,54.52,-1.59,(-2.83%)
339,"Centerpoint Energy, Inc.",CNP,0.0005,28.82,-0.88,(-2.96%)
340,Baxter International Inc.,BAX,0.0005,37.32,-1.63,(-4.18%)
341,Targa Resources Corp.,TRGP,0.0005,83.97,-2.31,(-2.68%)
342,"Netapp, Inc",NTAP,0.0005,88.72,-0.50,(-0.55%)
343,"Cboe Global Markets, Inc.",CBOE,0.0005,175.60,3.32,-1.93%
344,Coterra Energy Inc.,CTRA,0.0005,25.35,-0.22,(-0.86%)
345,Ball Corporation,BALL,0.0005,60.58,1.44,-2.43%
346,Waters Corp,WAT,0.0005,312.62,-8.72,(-2.72%)
347,Carnival Corporation,CCL,0.0005,18.62,-0.16,(-0.85%)
348,"Expeditors International of Washington, Inc.",EXPD,0.0005,127.17,3.65,-2.95%
349,Clorox Company,CLX,0.0005,143.82,1.64,-1.15%
350,Steel Dynamics Inc,STLD,0.0005,125.25,6.12,-5.14%
351,Las Vegas Sands Corp.,LVS,0.0005,48.14,-0.47,(-0.97%)
352,"Brown & Brown, Inc.",BRO,0.0005,68.70,-3.27,(-4.54%)
353,Akamai Technologies Inc,AKAM,0.0005,118.18,-0.16,(-0.13%)
354,"Walgreens Boots Alliance, Inc",WBA,0.0004,25.17,0.03,-0.10%
355,Huntington Bancshares Inc,HBAN,0.0004,12.84,-0.34,(-2.58%)
